output_variable_name,output_display_name,internal_notes,display_notes,cost_type
cb:wali:technical_cost:sanitation:unimp_rural,Sanitation cost (unimproved rural),ND,"Domestic sanitation and wastewater treatment costs are based on Tables D.1 and E.1 in Hutton & Varughese (2016), Table A.4.1 in Brichetti et al (2021), Table 1 in Dodane et al. (2012), and Daudey (2018). Average wastewater produced in LAC is based on Table 4 in Jones et al (2021). We assume industrial wastewater treatment costs the same as domestic wastewater treatment per quantity of treated water. The full cost of safely managed sanitation in urban settings is the cost of the sanitation system (per capita) and the cost of treating the collected wastewater (per m3) using one of the wastewater treatment systems.",system_cost
cb:wali:technical_cost:sanitation:imp_rural,Sanitation cost (improved rural),ND,"Domestic sanitation and wastewater treatment costs are based on Tables D.1 and E.1 in Hutton & Varughese (2016), Table A.4.1 in Brichetti et al (2021), Table 1 in Dodane et al. (2012), and Daudey (2018). Average wastewater produced in LAC is based on Table 4 in Jones et al (2021). We assume industrial wastewater treatment costs the same as domestic wastewater treatment per quantity of treated water. The full cost of safely managed sanitation in urban settings is the cost of the sanitation system (per capita) and the cost of treating the collected wastewater (per m3) using one of the wastewater treatment systems.",system_cost
cb:wali:technical_cost:sanitation:safeman_rural,Sanitation cost (safely managed rural),ND,"Domestic sanitation and wastewater treatment costs are based on Tables D.1 and E.1 in Hutton & Varughese (2016), Table A.4.1 in Brichetti et al (2021), Table 1 in Dodane et al. (2012), and Daudey (2018). Average wastewater produced in LAC is based on Table 4 in Jones et al (2021). We assume industrial wastewater treatment costs the same as domestic wastewater treatment per quantity of treated water. The full cost of safely managed sanitation in urban settings is the cost of the sanitation system (per capita) and the cost of treating the collected wastewater (per m3) using one of the wastewater treatment systems.",system_cost
cb:wali:technical_cost:sanitation:unimp_urban,Sanitation cost (unimproved urban),ND,"Domestic sanitation and wastewater treatment costs are based on Tables D.1 and E.1 in Hutton & Varughese (2016), Table A.4.1 in Brichetti et al (2021), Table 1 in Dodane et al. (2012), and Daudey (2018). Average wastewater produced in LAC is based on Table 4 in Jones et al (2021). We assume industrial wastewater treatment costs the same as domestic wastewater treatment per quantity of treated water. The full cost of safely managed sanitation in urban settings is the cost of the sanitation system (per capita) and the cost of treating the collected wastewater (per m3) using one of the wastewater treatment systems.",system_cost
cb:wali:technical_cost:sanitation:imp_urban,Sanitation cost (improved urban),ND,"Domestic sanitation and wastewater treatment costs are based on Tables D.1 and E.1 in Hutton & Varughese (2016), Table A.4.1 in Brichetti et al (2021), Table 1 in Dodane et al. (2012), and Daudey (2018). Average wastewater produced in LAC is based on Table 4 in Jones et al (2021). We assume industrial wastewater treatment costs the same as domestic wastewater treatment per quantity of treated water. The full cost of safely managed sanitation in urban settings is the cost of the sanitation system (per capita) and the cost of treating the collected wastewater (per m3) using one of the wastewater treatment systems.",system_cost
cb:wali:technical_cost:sanitation:safeman_urban,Sanitation cost (safely managed urban),ND,"Domestic sanitation and wastewater treatment costs are based on Tables D.1 and E.1 in Hutton & Varughese (2016), Table A.4.1 in Brichetti et al (2021), Table 1 in Dodane et al. (2012), and Daudey (2018). Average wastewater produced in LAC is based on Table 4 in Jones et al (2021). We assume industrial wastewater treatment costs the same as domestic wastewater treatment per quantity of treated water. The full cost of safely managed sanitation in urban settings is the cost of the sanitation system (per capita) and the cost of treating the collected wastewater (per m3) using one of the wastewater treatment systems.",system_cost
cb:wali:technical_cost:sanitation:omit_rural,Sanitation cost (omit rural),ND,There should be no people in this category,system_cost
cb:entc:technical_cost:electricity:capex,Electricity production (CapEx),none,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:entc:technical_cost:electricity:opex,Electricity production (OpEx),none,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:entc:technical_cost:electricity:transmission,Electricity production (Tx),ND,"Gorman, Will, Andrew Mills, and Ryan Wiser. Improving estimates of transmission capital costs for utility-scale wind and solar projects to inform renewable energy policy. Energy Policy 135 (2019): 110994.",system_cost
change_in_emissions,Change in Emissions,ND,ND,system_cost
cb:trns:air_pollution:X:diesel,Transport air pollution (diesel),none,"We use the IMFÕs fossil fuel subsidies database (2021) to estimate the avoided air pollution costs of fossil fuels used for road transport, averaged across LAC.",system_cost
cb:trns:air_pollution:X:gasoline,Transport air pollution (gasoline),none,"We use the IMFÕs fossil fuel subsidies database (2021) to estimate the avoided air pollution costs of fossil fuels used for road transport, averaged across LAC.",system_cost
cb:trns:air_pollution:X:biofuels,Transport air pollution (biofuels),none,"We use the IMFÕs fossil fuel subsidies database (2021) to estimate the avoided air pollution costs of fossil fuels used for road transport, averaged across LAC.",system_cost
cb:lndu:ecosystem_services:forests:primary,Value of ecosystem services (avoided loss of primary forest),none,"The value of ecosystem services of forests is deeply uncertain and varies widely (Taye et al., 2021, Table 7, averaged across tropical, sub-tropical, and temperate biomes; Costanza et al., 2011, Table S.1). Here we assume that any transition of primary forests is the result of deforestation that results in cleared land for crops or pasture, which have low ecosystem service value by comparison.  The values used are intended to represent ecosystem service value lost, exclusive of both food provisioning and carbon sequestration, which are accounted for separately in our study.",system_cost
cb:lndu:ecosystem_services:forests:secondary,Value of ecosystem services (conversion of pasture to secondary forest),none,"We assume that, compared to secondary forest, pastures have little ecosystem service value outside of food production (whcih is valued elsewhere), and that the conversion of pasture to secondary forest through reforestation efforts reclaims some ecosystem services provided by secondary forests (Taye et al., 2021, Table 3; Costanza et al., 2014, Table S.1).",system_cost
cb:trns:system_cost:freight_transport:aviation,Cost of freight transport (aviation),none,"We estimate the impact of mode shifting freight based on costs associated with freight transport in the US ($0.86/mtkm by air; $0.11/mtkm by truck; 0.03/mtkm by rail, and $0.02/mtkm by water) and adjust to LAC (US BTS, 2022). We exclude fuel costs, assuming they account for 10% of the total cost.",system_cost
cb:trns:system_cost:freight_transport:rail,Cost of freight transport (rail),none,"We estimate the impact of mode shifting freight based on costs associated with freight transport in the US ($0.86/mtkm by air; $0.11/mtkm by truck; 0.03/mtkm by rail, and $0.02/mtkm by water) and adjust to LAC (US BTS, 2022). We exclude fuel costs, assuming they account for 10% of the total cost.",system_cost
cb:trns:system_cost:freight_transport:road_heavy,Cost of freight transport (road),none,"We estimate the impact of mode shifting freight based on costs associated with freight transport in the US ($0.86/mtkm by air; $0.11/mtkm by truck; 0.03/mtkm by rail, and $0.02/mtkm by water) and adjust to LAC (US BTS, 2022). We exclude fuel costs, assuming they account for 10% of the total cost.",system_cost
cb:trns:system_cost:freight_transport:water_borne,Cost of freight transport (water borne),ND,"We estimate the impact of mode shifting freight based on costs associated with freight transport in the US ($0.86/mtkm by air; $0.11/mtkm by truck; 0.03/mtkm by rail, and $0.02/mtkm by water) and adjust to LAC (US BTS, 2022). We exclude fuel costs, assuming they account for 10% of the total cost.",system_cost
cb:waso:technical_cost:waste_management:biogas,Cost of Waste Management (biogas),ND,"World Bank (2012) provides costs for the collection and management of waste for countries of different income groups.

For management without energy recovery, we use average costs across the lower-middle and upper- middle income tiers. The cost of recycling includes the cost of separation and materials recovery. The cost of processing and manufacturing are included in the value of recyclables (discussed in benefits) and is estimated from the EPAÕs documentation of paper recycling costs (EPA, 2019).",system_cost
cb:waso:technical_cost:waste_management:compost,Cost of Waste Management (compost),ND,"World Bank (2012) provides costs for the collection and management of waste for countries of different income groups.

For management without energy recovery, we use average costs across the lower-middle and upper- middle income tiers. The cost of recycling includes the cost of separation and materials recovery. The cost of processing and manufacturing are included in the value of recyclables (discussed in benefits) and is estimated from the EPAÕs documentation of paper recycling costs (EPA, 2019).",system_cost
cb:waso:technical_cost:waste_management:incinerated,Cost of Waste Management (incineration),ND,"World Bank (2012) provides costs for the collection and management of waste for countries of different income groups.

For management without energy recovery, we use average costs across the lower-middle and upper- middle income tiers. The cost of recycling includes the cost of separation and materials recovery. The cost of processing and manufacturing are included in the value of recyclables (discussed in benefits) and is estimated from the EPAÕs documentation of paper recycling costs (EPA, 2019).",system_cost
cb:waso:technical_cost:waste_management:landfilled,Cost of Waste Management (landfilled),ND,"World Bank (2012) provides costs for the collection and management of waste for countries of different income groups.

For management without energy recovery, we use average costs across the lower-middle and upper- middle income tiers. The cost of recycling includes the cost of separation and materials recovery. The cost of processing and manufacturing are included in the value of recyclables (discussed in benefits) and is estimated from the EPAÕs documentation of paper recycling costs (EPA, 2019).",system_cost
cb:waso:technical_cost:waste_management:open_dump,Cost of Waste Management (open dumping),ND,"World Bank (2012) provides costs for the collection and management of waste for countries of different income groups.

For management without energy recovery, we use average costs across the lower-middle and upper- middle income tiers. The cost of recycling includes the cost of separation and materials recovery. The cost of processing and manufacturing are included in the value of recyclables (discussed in benefits) and is estimated from the EPAÕs documentation of paper recycling costs (EPA, 2019).",system_cost
cb:waso:technical_cost:waste_management:recycled,Cost of Waste Management (recycling),ND,"World Bank (2012) provides costs for the collection and management of waste for countries of different income groups.

For management without energy recovery, we use average costs across the lower-middle and upper- middle income tiers. The cost of recycling includes the cost of separation and materials recovery. The cost of processing and manufacturing are included in the value of recyclables (discussed in benefits) and is estimated from the EPAÕs documentation of paper recycling costs (EPA, 2019).",system_cost
cb:trww:technical_cost:wastewater_treatment:tertiary_aerobic,"Wastewater treatment (tertiary, aerobic)","costs at each level of treatment represent the cost of that level, plus prior levels of treatment. ","Domestic sanitation and wastewater treatment costs are based on Tables D.1 and E.1 in Hutton & Varughese (2016), Table A.4.1 in Brichetti et al (2021), Table 1 in Dodane et al. (2012), and Daudey (2018). Average wastewater produced in LAC is based on Table 4 in Jones et al (2021). Here, the costs are given for each treatment option in isolation. So, wastewater that receives tertiary treatment will also receive primary and secondary treatment and incur those costs. 

We assume industrial wastewater treatment costs the same as domestic wastewater treatment per quantity of treated water. The cost of no treatment is the cost of collecting industrial wastewater and dumping it untreated into waterways. We estimated it as one tenth of the cost of sewerage (i.e., safely managed urban sanitation) on a per cubic meter basis.",system_cost
cb:trww:technical_cost:wastewater_treatment:tertiary_anaerobic,"Wastewater treatment (tertiary, anaerobic)","costs at each level of treatment represent the cost of that level, plus prior levels of treatment. ","Domestic sanitation and wastewater treatment costs are based on Tables D.1 and E.1 in Hutton & Varughese (2016), Table A.4.1 in Brichetti et al (2021), Table 1 in Dodane et al. (2012), and Daudey (2018). Average wastewater produced in LAC is based on Table 4 in Jones et al (2021). Here, the costs are given for each treatment option in isolation. So, wastewater that receives tertiary treatment will also receive primary and secondary treatment and incur those costs. 

We assume industrial wastewater treatment costs the same as domestic wastewater treatment per quantity of treated water. The cost of no treatment is the cost of collecting industrial wastewater and dumping it untreated into waterways. We estimated it as one tenth of the cost of sewerage (i.e., safely managed urban sanitation) on a per cubic meter basis.",system_cost
cb:trww:technical_cost:wastewater_treatment:primary,Wastewater treatment (primary),"costs at each level of treatment represent the cost of that level, plus prior levels of treatment. ","Domestic sanitation and wastewater treatment costs are based on Tables D.1 and E.1 in Hutton & Varughese (2016), Table A.4.1 in Brichetti et al (2021), Table 1 in Dodane et al. (2012), and Daudey (2018). Average wastewater produced in LAC is based on Table 4 in Jones et al (2021). Here, the costs are given for each treatment option in isolation. So, wastewater that receives tertiary treatment will also receive primary and secondary treatment and incur those costs. 

We assume industrial wastewater treatment costs the same as domestic wastewater treatment per quantity of treated water. The cost of no treatment is the cost of collecting industrial wastewater and dumping it untreated into waterways. We estimated it as one tenth of the cost of sewerage (i.e., safely managed urban sanitation) on a per cubic meter basis.",system_cost
cb:trww:technical_cost:wastewater_treatment:secondary_aerobic,"Wastewater treatment (secondary, aerobic)","costs at each level of treatment represent the cost of that level, plus prior levels of treatment. ","Domestic sanitation and wastewater treatment costs are based on Tables D.1 and E.1 in Hutton & Varughese (2016), Table A.4.1 in Brichetti et al (2021), Table 1 in Dodane et al. (2012), and Daudey (2018). Average wastewater produced in LAC is based on Table 4 in Jones et al (2021). Here, the costs are given for each treatment option in isolation. So, wastewater that receives tertiary treatment will also receive primary and secondary treatment and incur those costs. 

We assume industrial wastewater treatment costs the same as domestic wastewater treatment per quantity of treated water. The cost of no treatment is the cost of collecting industrial wastewater and dumping it untreated into waterways. We estimated it as one tenth of the cost of sewerage (i.e., safely managed urban sanitation) on a per cubic meter basis.",system_cost
cb:trww:technical_cost:wastewater_treatment:secondary_anaerobic,"Wastewater treatment (secondary, anaerobic)","costs at each level of treatment represent the cost of that level, plus prior levels of treatment. ","Domestic sanitation and wastewater treatment costs are based on Tables D.1 and E.1 in Hutton & Varughese (2016), Table A.4.1 in Brichetti et al (2021), Table 1 in Dodane et al. (2012), and Daudey (2018). Average wastewater produced in LAC is based on Table 4 in Jones et al (2021). Here, the costs are given for each treatment option in isolation. So, wastewater that receives tertiary treatment will also receive primary and secondary treatment and incur those costs. 

We assume industrial wastewater treatment costs the same as domestic wastewater treatment per quantity of treated water. The cost of no treatment is the cost of collecting industrial wastewater and dumping it untreated into waterways. We estimated it as one tenth of the cost of sewerage (i.e., safely managed urban sanitation) on a per cubic meter basis.",system_cost
cb:trww:technical_cost:wastewater_treatment:untreated_with_sewerage,Wastewater treatment (untreated but collected),"costs at each level of treatment represent the cost of that level, plus prior levels of treatment. ","Domestic sanitation and wastewater treatment costs are based on Tables D.1 and E.1 in Hutton & Varughese (2016), Table A.4.1 in Brichetti et al (2021), Table 1 in Dodane et al. (2012), and Daudey (2018). Average wastewater produced in LAC is based on Table 4 in Jones et al (2021). Here, the costs are given for each treatment option in isolation. So, wastewater that receives tertiary treatment will also receive primary and secondary treatment and incur those costs. 

We assume industrial wastewater treatment costs the same as domestic wastewater treatment per quantity of treated water. The cost of no treatment is the cost of collecting industrial wastewater and dumping it untreated into waterways. We estimated it as one tenth of the cost of sewerage (i.e., safely managed urban sanitation) on a per cubic meter basis.",system_cost
cb:wali:human_health:safe_sanitation:X,Sanitation benefit of safely managed sanitation,ND,"The per capita benefits were calculated by dividing the total annual benefit of transitioning from unimproved to improved sanitation in LAC (Table 9) by the total population receiving improved sanitation interventions in LAC (Table 1) in Hutton (2012), adjusted from 2010 to 2019 dollars. The sanitation ladder in Hutton (2012) calculates the benefits of moving from unimproved to improved sanitation as defined above, but where the latter term could be extended to include (i.e., safely managed) sanitation options of septic tanks and sewerage with wastewater treatment without affecting the value of benefits. We therefore assume that the benefits roughly apply to transitions from unimproved to safely managed sanitation and improved to safely managed sanitation.",system_cost
cb:lvst:lvst_value:livestock_produced:buffalo,Value of livestock (buffalo) ,revised 6/21/23,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",system_cost
cb:lvst:lvst_value:livestock_produced:cattle_dairy,Value of livestock (cattle - dairy) ,revised 6/21/23,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",system_cost
cb:lvst:lvst_value:livestock_produced:cattle_nondairy,Value of livestock (cattle - nondairy) ,revised 6/21/23,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",system_cost
cb:lvst:lvst_value:livestock_produced:chickens,Value of livestock (chickens) ,revised 6/21/23,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",system_cost
cb:lvst:lvst_value:livestock_produced:goats,Value of livestock (goats) ,revised 6/21/23,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",system_cost
cb:lvst:lvst_value:livestock_produced:horses,Value of livestock (horses) ,revised 6/21/23,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",system_cost
cb:lvst:lvst_value:livestock_produced:mules,Value of livestock (mules) ,revised 6/21/23,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",system_cost
cb:lvst:lvst_value:livestock_produced:pigs,Value of livestock (pigs) ,revised 6/21/23,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",system_cost
cb:lvst:lvst_value:livestock_produced:sheep,Value of livestock (sheep) ,revised 6/21/23,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",system_cost
cb:agrc:crop_value:crops_produced:bevs_and_spices,Value of crops (bevs and spices),revised 6/21/23,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",system_cost
cb:agrc:crop_value:crops_produced:cereals,Value of crops (cereals),revised 6/21/23,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",system_cost
cb:agrc:crop_value:crops_produced:fibers,Value of crops (fibers),revised 6/21/23,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",system_cost
cb:agrc:crop_value:crops_produced:fruits,Value of crops (fruits),revised 6/21/23,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",system_cost
cb:agrc:crop_value:crops_produced:herbs,Value of crops (herbs),revised 6/21/23,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",system_cost
cb:agrc:crop_value:crops_produced:nuts,Value of crops (nuts),revised 6/21/23,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",system_cost
cb:agrc:crop_value:crops_produced:other_annual,Value of crops (other annual),revised 6/21/23,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",system_cost
cb:agrc:crop_value:crops_produced:other_woody_perennial,Value of crops (other woody perennial),revised 6/21/23,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",system_cost
cb:agrc:crop_value:crops_produced:pulses,Value of crops (pulses),revised 6/21/23,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",system_cost
cb:agrc:crop_value:crops_produced:rice,Value of crops (rice),revised 6/21/23,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",system_cost
cb:agrc:crop_value:crops_produced:sugar_cane,Value of crops (sugar cane),revised 6/21/23,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",system_cost
